week,country,channel,installs,roas_w0,roas_w1,roas_w2,roas_w3,roas_w4,roas_w5,roas_w6,lifetime_value_w0,lifetime_value_w4,lifetime_value_w1,lifetime_value_w2,lifetime_value_w3,lifetime_value_w5,lifetime_value_w6,lifetime_value_ad_w0,lifetime_value_ad_w1,lifetime_value_ad_w2,lifetime_value_ad_w3,lifetime_value_ad_w4,lifetime_value_ad_w5,lifetime_value_ad_w6,lifetime_value_iap_w0,lifetime_value_iap_w1,lifetime_value_iap_w2,lifetime_value_iap_w3,lifetime_value_iap_w4,lifetime_value_iap_w5,lifetime_value_iap_w6,ecpi,trial started_w0_events_cost_cohort,cost_per_paying_user_d0
2024-04-01,Azerbaijan,Organic,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,0.0196,0.0195,0.0195,0.0196,0.0196,0.0197,0.0193,0.0195,0.0195,0.0196,0.0196,0.0196,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Bahrain,Organic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Bangladesh,Organic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Barbados,Organic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Belarus,Organic,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0228,0.0222,0.0227,0.0227,0.0228,0.0228,0.0219,0.0222,0.0227,0.0227,0.0228,0.0228,0.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Belgium,Google Ads,156,0.8675,0.893,0.9389,0.9451,0.9451,0.9456,0.9456,0.1388,0.1512,0.1429,0.1502,0.1512,0.1513,0.1513,0.0516,0.0557,0.063,0.064,0.064,0.0641,0.0641,0.0872,0.0872,0.0872,0.0872,0.0872,0.0872,0.0872,0.16,3.5649,0.0
2024-04-01,Belgium,Organic,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269,0.0337,0.0269,0.0337,0.0337,0.0337,0.0337,0.0269,0.0269,0.0337,0.0337,0.0337,0.0337,0.0337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Belize,Organic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Benin,Organic,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,"Bolivia, Plurinational State Of",Organic,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0033,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Bosnia & Herzegovina,Organic,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Botswana,Organic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Brazil,Google Ads,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0283,0.0149,0.0247,0.0283,0.0283,0.0283,0.0145,0.0149,0.0247,0.0283,0.0283,0.0283,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Brazil,Google Organic Search,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Brazil,Organic,6528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283,0.0348,0.0309,0.0328,0.0346,0.0351,0.0352,0.0269,0.0282,0.0287,0.0291,0.0294,0.0296,0.0297,0.0014,0.0028,0.0041,0.0055,0.0055,0.0055,0.0055,0.0,0.0,0.0
2024-04-01,Bulgaria,Organic,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Burkina Faso,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Burkina Faso,Organic,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0236,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Cameroon,Organic,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Canada,Facebook,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Canada,Google Ads,648,0.6876,0.8404,0.9756,1.0638,1.1629,1.2477,1.3303,0.2941,0.4974,0.3595,0.4173,0.4551,0.5337,0.5691,0.19,0.2039,0.2103,0.2135,0.2213,0.2231,0.2238,0.1041,0.1556,0.2071,0.2416,0.2761,0.3106,0.3453,0.4278,7.492,0.0
2024-04-01,Canada,Organic,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4501,1.1134,0.7703,0.7834,1.1134,1.1134,1.1134,0.1264,0.1279,0.141,0.1516,0.1516,0.1516,0.1516,0.3238,0.6424,0.6424,0.9618,0.9618,0.9618,0.9618,0.0,0.0,0.0
2024-04-01,Chile,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Chile,Organic,370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569,0.1507,0.0804,0.1047,0.1278,0.1739,0.1981,0.034,0.0351,0.0369,0.0373,0.0373,0.0374,0.0374,0.023,0.0454,0.0678,0.0905,0.1134,0.1366,0.1607,0.0,0.0,0.0
2024-04-01,Colombia,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Colombia,Organic,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.0458,0.0455,0.0457,0.0458,0.0459,0.0459,0.0449,0.0455,0.0457,0.0458,0.0458,0.0459,0.0459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Costa Rica,Organic,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382,0.0444,0.0398,0.0444,0.0444,0.0445,0.0446,0.0382,0.0398,0.0444,0.0444,0.0444,0.0445,0.0446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Cote d'Ivoire,Organic,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0188,0.0147,0.0151,0.0151,0.0188,0.0188,0.0143,0.0147,0.0151,0.0151,0.0188,0.0188,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Croatia,Organic,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0647,0.0749,0.0729,0.0749,0.0749,0.0749,0.0749,0.0647,0.0729,0.0749,0.0749,0.0749,0.0749,0.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Cuba,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Cuba,Organic,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Curacao,Organic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.017,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Cyprus,Organic,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0865,0.0865,0.0865,0.0865,0.0865,0.0874,0.067,0.0865,0.0865,0.0865,0.0865,0.0865,0.0874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Czech Republic,Organic,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853,0.2305,0.129,0.1389,0.229,0.2305,0.2385,0.0853,0.129,0.1389,0.229,0.2305,0.2305,0.2385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Democratic Republic Of Congo,Organic,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307,0.0438,0.0427,0.0438,0.0438,0.0438,0.045,0.0307,0.0427,0.0438,0.0438,0.0438,0.0438,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Denmark,Google Ads,2,1.1955,2.0657,2.0657,3.5478,3.5478,3.5478,3.5478,0.265,0.7864,0.4579,0.4579,0.7864,0.7864,0.7864,0.265,0.4579,0.4579,0.7864,0.7864,0.7864,0.7864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2217,0.0,0.0
2024-04-01,Denmark,Organic,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1212,0.1212,0.1212,0.1212,0.1212,0.1306,0.1306,0.1212,0.1212,0.1212,0.1212,0.1212,0.1306,0.1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Dominican Republic,Organic,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301,0.0311,0.0305,0.0311,0.0311,0.0317,0.0317,0.0301,0.0305,0.0311,0.0311,0.0311,0.0317,0.0317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Ecuador,Organic,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.017,0.0157,0.0165,0.0166,0.0171,0.0202,0.0145,0.0157,0.0165,0.0166,0.017,0.0171,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Egypt,Organic,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,El Salvador,Organic,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0196,0.0195,0.0195,0.0196,0.0196,0.0197,0.0186,0.0195,0.0195,0.0196,0.0196,0.0196,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Estonia,Organic,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Ethiopia,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Ethiopia,Organic,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0167,0.0123,0.0123,0.0135,0.0167,0.0167,0.0123,0.0123,0.0123,0.0135,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Finland,Organic,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.062,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,France,Google Ads,977,0.5293,0.5554,0.5772,0.5857,0.5918,0.5969,0.6008,0.0777,0.0869,0.0815,0.0847,0.086,0.0876,0.0882,0.0777,0.0815,0.0847,0.086,0.0869,0.0876,0.0882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468,14.3411,0.0
2024-04-01,France,Organic,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309,0.0326,0.0318,0.0326,0.0326,0.0326,0.0332,0.0309,0.0318,0.0326,0.0326,0.0326,0.0326,0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,French Guiana,Organic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Gabon,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Gabon,Organic,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Georgia,Organic,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0312,0.03,0.03,0.0312,0.0312,0.0312,0.0276,0.03,0.03,0.0312,0.0312,0.0312,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Germany,Google Ads,276,0.4684,0.473,0.4732,0.4736,0.4794,0.4803,0.4825,0.1364,0.1396,0.1377,0.1378,0.1379,0.1399,0.1405,0.0863,0.0876,0.0877,0.0878,0.0895,0.0898,0.0904,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501,0.2912,5.3581,0.0
2024-04-01,Germany,Google Organic Search,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Germany,Organic,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.1182,0.1177,0.1177,0.1177,0.119,0.119,0.1176,0.1177,0.1177,0.1177,0.1182,0.119,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Ghana,Organic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012,0.1012,0.1012,0.1012,0.1012,0.1012,0.1076,0.1012,0.1012,0.1012,0.1012,0.1012,0.1012,0.1076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Greece,Organic,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2203,0.6049,0.4138,0.604,0.6048,0.7929,0.7929,0.0329,0.039,0.0419,0.0426,0.0428,0.0434,0.0434,0.1874,0.3748,0.5621,0.5621,0.5621,0.7495,0.7495,0.0,0.0,0.0
2024-04-01,Guadeloupe,Organic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528,0.0555,0.0529,0.0555,0.0555,0.0555,0.0555,0.0528,0.0529,0.0555,0.0555,0.0555,0.0555,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Guam,Organic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Guatemala,Organic,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358,0.0453,0.0373,0.038,0.0453,0.0454,0.0454,0.0358,0.0373,0.038,0.0453,0.0453,0.0454,0.0454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Guinea,Organic,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Guinea-bissau,Organic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Haiti,Organic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Honduras,Organic,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0159,0.0156,0.0156,0.0156,0.016,0.016,0.0156,0.0156,0.0156,0.0156,0.0159,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Hong Kong,Organic,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Hungary,Organic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,India,Google Ads,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0078,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,India,Google Organic Search,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,India,Organic,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0176,0.0157,0.0164,0.017,0.0177,0.0179,0.0141,0.0157,0.0164,0.017,0.0176,0.0177,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Indonesia,Google Ads,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,Indonesia,Organic,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0084,0.0082,0.0083,0.0084,0.0084,0.0084,0.0082,0.0082,0.0083,0.0084,0.0084,0.0084,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,"Iran, Islamic Republic Of",Google Ads,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,"Iran, Islamic Republic Of",Organic,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
